"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",8,2,3,0,12,4.2,8,0
"exp1",8,3,0,NA,13,3,9,NA
"exp1",8,3,1,2,13,3.66,9,1
"exp1",8,3,2,2,13,4.2,9,1
"exp1",8,3,3,2,13,4.67,9,1
"exp1",8,4,0,NA,13.5,5,8,NA
"exp1",8,4,1,2,13.5,5.4,8,1
"exp1",8,4,2,2,13.5,5.77,8,1
"exp1",8,4,3,0,13.5,5.77,8,0
"exp1",9,1,0,NA,11,2,8,NA
"exp1",9,1,1,2,11,3,8,1
"exp1",9,1,2,0,11,3,8,0
"exp1",9,1,3,0,11,3,8,0
"exp1",9,2,0,NA,12,3,8,NA
"exp1",9,2,1,2,12,3.66,8,1
"exp1",9,2,2,2,12,4.2,8,1
"exp1",9,2,3,0,12,4.2,8,0
"exp1",9,3,0,NA,13,3,9,NA
"exp1",9,3,1,2,13,3.66,9,1
"exp1",9,3,2,2,13,4.2,9,1
"exp1",9,3,3,0,13,4.2,9,0
"exp1",9,4,0,NA,13.5,5,8,NA
"exp1",9,4,1,4,13.5,5,8.5,2
"exp1",9,4,2,0,13.5,5,8.5,0
"exp1",9,4,3,0,13.5,5,8.5,0
"exp1",10,1,0,NA,11,2,8,NA
"exp1",10,1,1,2,11,3,8,1
"exp1",10,1,2,0,11,3,8,0
"exp1",10,1,3,0,11,3,8,0
"exp1",10,2,0,NA,12,3,8,NA
"exp1",10,2,1,8,12,3,9,2
"exp1",10,2,2,0,12,3,9,0
"exp1",10,2,3,0,12,3,9,0
"exp1",10,3,0,NA,13,3,9,NA
"exp1",10,3,1,0,13,3,9,0
"exp1",10,3,2,2,13,3.66,9,1
"exp1",10,3,3,2,13,4.2,9,1
"exp1",10,4,0,NA,13.5,5,8,NA
"exp1",10,4,1,4,13.5,5.8,8,1
"exp1",10,4,2,0,13.5,5.8,8,0
"exp1",10,4,3,0,13.5,5.8,8,0
"exp1",11,1,0,NA,11,2,8,NA
"exp1",11,1,1,2,11,3,8,1
"exp1",11,1,2,2,11,3.66,8,1
"exp1",11,1,3,2,11,4.2,8,1
"exp1",11,2,0,NA,12,3,8,NA
"exp1",11,2,1,4,12,3,8,1
"exp1",11,2,2,2,12,3.66,8,1
"exp1",11,2,3,2,12,4.2,8,1
"exp1",11,3,0,NA,13,3,9,NA
"exp1",11,3,1,2,13,3.66,9,1
"exp1",11,3,2,2,13,4.2,9,1
"exp1",11,3,3,4,13,5.15,9,1
"exp1",11,4,0,NA,13.5,5,8,NA
"exp1",11,4,1,4,13.5,5.8,8,1
"exp1",11,4,2,6,13.5,5.8,8,1
"exp1",11,4,3,4,13.5,6.48,8,1
"exp1",12,1,0,NA,11,2,8,NA
"exp1",12,1,1,8,11,2,9,2
