"expIndex","subject","target","round","weak_strength","strong_strength","agent_selected","weight_selected","scenario","team"
"exp2-2",9,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",9,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",9,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",9,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",9,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",9,50,2,9,40.2,2,8,2,"<8,40>"
"exp2-2",9,50,3,9.88,40.2,1,8,2,"<8,40>"
"exp2-2",9,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",9,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",9,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",9,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",10,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",10,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",10,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",10,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",10,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",10,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",10,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",10,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",10,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",10,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",10,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",10,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",11,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",11,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",11,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",11,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",11,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",11,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",11,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",11,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",11,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",11,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",11,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",11,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",12,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",12,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",12,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",12,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",12,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",12,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",12,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",12,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",12,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",12,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",12,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",12,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",13,24,0,20,40,NA,NA,1,"<20,40>"
"exp2-2",13,24,1,20,40.2,2,8,1,"<20,40>"
"exp2-2",13,24,2,20,40.39,2,8,1,"<20,40>"
"exp2-2",13,24,3,20,40.53,2,6,1,"<20,40>"
"exp2-2",13,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",13,50,1,20,40.05,2,2,2,"<20,40>"
"exp2-2",13,50,2,20.4,40.05,1,8,2,"<20,40>"
"exp2-2",13,50,3,20.79,40.05,1,8,2,"<20,40>"
"exp2-2",13,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",13,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",13,61,2,20.69,40,1,6,3,"<20,40>"
"exp2-2",13,61,3,20.69,40.15,2,6,3,"<20,40>"
"exp2-2",14,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",14,24,1,9,20,1,8,1,"<8,20>"
"exp2-2",14,24,2,9,20.2,2,4,1,"<8,20>"
"exp2-2",14,24,3,9,20.59,2,8,1,"<8,20>"
"exp2-2",14,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",14,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",14,50,2,9,40.2,2,8,2,"<8,40>"
"exp2-2",14,50,3,9.44,40.2,1,4,2,"<8,40>"
"exp2-2",14,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",14,61,1,20,40.2,2,8,3,"<20,40>"
"exp2-2",14,61,2,20,40.39,2,8,3,"<20,40>"
"exp2-2",14,61,3,20.2,40.39,1,4,3,"<20,40>"
"exp2-2",15,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",15,24,1,8,20,0,0,1,"<8,20>"
"exp2-2",15,24,2,8,20,0,0,1,"<8,20>"
"exp2-2",15,24,3,8,20,0,0,1,"<8,20>"
"exp2-2",15,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",15,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",15,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",15,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",15,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",15,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",15,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",15,61,3,21.07,40,1,6,3,"<20,40>"
"exp2-2",16,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",16,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",16,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",16,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",16,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",16,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",16,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",16,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",16,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",16,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",16,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",16,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",17,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",17,24,1,8,20.2,2,4,1,"<8,20>"
"exp2-2",17,24,2,8.75,20.2,1,6,1,"<8,20>"
"exp2-2",17,24,3,9.43,20.2,1,6,1,"<8,20>"
"exp2-2",17,50,0,2,8,NA,NA,2,"<2,8>"
"exp2-2",17,50,1,3,8,1,2,2,"<2,8>"
