"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",38,50,1,9,40,1,8,2,"<8,40>"
"exp4",38,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",38,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",38,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",38,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",38,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",38,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",39,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",39,24,1,8,20,0,0,1,"<8,20>"
"exp4",39,24,2,8,20,0,0,1,"<8,20>"
"exp4",39,24,3,8,20,0,0,1,"<8,20>"
"exp4",39,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",39,50,1,9,40,1,8,2,"<8,40>"
"exp4",39,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",39,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",39,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",39,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",39,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",39,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",40,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",40,24,1,8,20,0,0,1,"<8,20>"
"exp4",40,24,2,8,20,0,0,1,"<8,20>"
"exp4",40,24,3,8,20,0,0,1,"<8,20>"
"exp4",40,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",40,50,1,9,40,1,8,2,"<8,40>"
"exp4",40,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",40,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",40,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",40,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",40,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",40,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",41,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",41,24,1,3,20,1,2,1,"<2,20>"
"exp4",41,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",41,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",41,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",41,50,1,9,40,1,8,2,"<8,40>"
"exp4",41,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",41,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",41,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",41,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",41,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp4",41,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",42,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",42,24,1,3,20,1,2,1,"<2,20>"
"exp4",42,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",42,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",42,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",42,50,1,9,40,1,8,2,"<8,40>"
"exp4",42,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",42,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",42,61,0,2,8,NA,NA,3,"<2,8>"
"exp4",42,61,1,2,8,0,0,3,"<2,8>"
"exp4",42,61,2,2,8,0,0,3,"<2,8>"
"exp4",42,61,3,2,8,0,0,3,"<2,8>"
"exp4",43,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",43,24,1,2,20,0,0,1,"<2,20>"
"exp4",43,24,2,3,20,1,2,1,"<2,20>"
"exp4",43,24,3,3.66,20,1,2,1,"<2,20>"
"exp4",43,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",43,50,1,20,40,0,0,2,"<20,40>"
"exp4",43,50,2,20,40,0,0,2,"<20,40>"
"exp4",43,50,3,20,40,0,0,2,"<20,40>"
"exp4",43,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",43,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",43,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",43,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",44,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",44,24,1,3,20,1,2,1,"<2,20>"
"exp4",44,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",44,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",44,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",44,50,1,9,40,1,8,2,"<8,40>"
"exp4",44,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",44,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",44,61,0,8,40,NA,NA,3,"<8,40>"
"exp4",44,61,1,9,40,1,8,3,"<8,40>"
"exp4",44,61,2,9.88,40,1,8,3,"<8,40>"
"exp4",44,61,3,10.68,40,1,8,3,"<8,40>"
"exp4",45,24,0,20,40,NA,NA,1,"<20,40>"
"exp4",45,24,1,20.4,40,1,8,1,"<20,40>"
"exp4",45,24,2,20.79,40,1,8,1,"<20,40>"
"exp4",45,24,3,21.17,40,1,8,1,"<20,40>"
"exp4",45,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",45,50,1,20,40,1,0,2,"<20,40>"
"exp4",45,50,2,20,40,0,0,2,"<20,40>"
"exp4",45,50,3,20,40,0,0,2,"<20,40>"
"exp4",45,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",45,61,1,20,40,0,0,3,"<20,40>"
"exp4",45,61,2,20,40,0,0,3,"<20,40>"
"exp4",45,61,3,20,40,0,0,3,"<20,40>"
"exp4",46,24,0,20,40,NA,NA,1,"<20,40>"
"exp4",46,24,1,20.4,40,1,8,1,"<20,40>"
"exp4",46,24,2,20.79,40,1,8,1,"<20,40>"
"exp4",46,24,3,21.17,40,1,8,1,"<20,40>"
"exp4",46,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",46,50,1,20.4,40,1,8,2,"<20,40>"
"exp4",46,50,2,20.79,40,1,8,2,"<20,40>"
"exp4",46,50,3,21.17,40,1,8,2,"<20,40>"
"exp4",46,61,0,2,20,NA,NA,3,"<2,20>"
"exp4",46,61,1,3,20,1,2,3,"<2,20>"
"exp4",46,61,2,3.66,20,1,2,3,"<2,20>"
"exp4",46,61,3,4.2,20,1,2,3,"<2,20>"
"exp4",47,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",47,24,1,9,20,1,8,1,"<8,20>"
"exp4",47,24,2,9,20,0,0,1,"<8,20>"
"exp4",47,24,3,9,20,0,0,1,"<8,20>"
"exp4",47,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",47,50,1,9,40,1,8,2,"<8,40>"
"exp4",47,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",47,50,3,10.48,40,1,6,2,"<8,40>"
"exp4",47,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",47,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",47,61,2,20,40.24,2,2,3,"<20,40>"
"exp4",47,61,3,20.4,40.24,1,8,3,"<20,40>"
"exp4",48,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",48,24,1,3,20,1,2,1,"<2,20>"
"exp4",48,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",48,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",48,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",48,50,1,8.75,40,1,6,2,"<8,40>"
"exp4",48,50,2,9.43,40,1,6,2,"<8,40>"
"exp4",48,50,3,10.06,40,1,6,2,"<8,40>"
"exp4",48,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",48,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",48,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",48,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",49,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",49,24,1,3,20,1,2,1,"<2,20>"
"exp4",49,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",49,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",49,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",49,50,1,9,40,1,8,2,"<8,40>"
"exp4",49,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",49,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",49,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",49,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",49,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",49,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",50,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",50,24,1,3,20,1,2,1,"<2,20>"
"exp4",50,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",50,24,3,3.66,20.4,2,8,1,"<2,20>"
"exp4",50,50,0,8,20,NA,NA,2,"<8,20>"
"exp4",50,50,1,9,20,1,8,2,"<8,20>"
"exp4",50,50,2,9.88,20,1,8,2,"<8,20>"
"exp4",50,50,3,10.68,20,1,8,2,"<8,20>"
"exp4",50,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",50,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",50,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",50,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",51,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",51,24,1,9,20,1,8,1,"<8,20>"
"exp4",51,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",51,24,3,9.88,20.4,2,8,1,"<8,20>"
"exp4",51,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",51,50,1,9,40,1,8,2,"<8,40>"
"exp4",51,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",51,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",51,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",51,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",51,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",51,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",52,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",52,24,1,8,20,0,0,1,"<8,20>"
"exp4",52,24,2,8,20,0,0,1,"<8,20>"
"exp4",52,24,3,8,20.4,2,8,1,"<8,20>"
"exp4",52,50,0,8,20,NA,NA,2,"<8,20>"
"exp4",52,50,1,8,20.4,2,8,2,"<8,20>"
"exp4",52,50,2,9,20.4,1,8,2,"<8,20>"
"exp4",52,50,3,9.88,20.4,1,8,2,"<8,20>"
"exp4",52,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",52,61,1,20.2,40,1,4,3,"<20,40>"
"exp4",52,61,2,20.2,40.2,2,8,3,"<20,40>"
"exp4",52,61,3,20.2,40.39,2,8,3,"<20,40>"
"exp4",53,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",53,24,1,3,20,1,2,1,"<2,20>"
"exp4",53,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",53,24,3,3.66,20.4,2,8,1,"<2,20>"
"exp4",53,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",53,50,1,20,40,0,0,2,"<20,40>"
"exp4",53,50,2,20,40,0,0,2,"<20,40>"
"exp4",53,50,3,20,40,0,0,2,"<20,40>"
"exp4",53,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",53,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",53,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",53,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",54,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",54,24,1,9,20,1,8,1,"<8,20>"
"exp4",54,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",54,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",54,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",54,50,1,9,40,1,8,2,"<8,40>"
"exp4",54,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",54,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",54,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",54,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",54,61,2,20.4,40.2,2,8,3,"<20,40>"
"exp4",54,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",55,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",55,24,1,8,20,0,0,1,"<8,20>"
"exp4",55,24,2,8,20,0,0,1,"<8,20>"
"exp4",55,24,3,8,20,0,0,1,"<8,20>"
"exp4",55,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",55,50,1,9,40,1,8,2,"<8,40>"
"exp4",55,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",55,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",55,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",55,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",55,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",55,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",56,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",56,24,1,9,20,1,8,1,"<8,20>"
"exp4",56,24,2,9,20.4,2,8,1,"<8,20>"
"exp4",56,24,3,9,20.4,0,0,1,"<8,20>"
"exp4",56,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",56,50,1,20,40,0,0,2,"<20,40>"
"exp4",56,50,2,20,40,0,0,2,"<20,40>"
"exp4",56,50,3,20,40,0,0,2,"<20,40>"
"exp4",56,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",56,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",56,61,2,20.4,40.2,2,8,3,"<20,40>"
"exp4",56,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",57,24,0,2,40,NA,NA,1,"<2,40>"
"exp4",57,24,1,2,40,0,0,1,"<2,40>"
"exp4",57,24,2,3,40,1,2,1,"<2,40>"
"exp4",57,24,3,3.66,40,1,2,1,"<2,40>"
"exp4",57,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",57,50,1,9,40,1,8,2,"<8,40>"
"exp4",57,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",57,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",57,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",57,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",57,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",57,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",58,24,0,2,40,NA,NA,1,"<2,40>"
"exp4",58,24,1,2,40,0,0,1,"<2,40>"
"exp4",58,24,2,2,40,0,0,1,"<2,40>"
"exp4",58,24,3,2,40,0,0,1,"<2,40>"
"exp4",58,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",58,50,1,9,40,1,8,2,"<8,40>"
"exp4",58,50,2,9,40,0,0,2,"<8,40>"
"exp4",58,50,3,9.88,40,1,8,2,"<8,40>"
"exp4",58,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",58,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",58,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp4",58,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",59,24,0,2,8,NA,NA,1,"<2,8>"
"exp4",59,24,1,3,8,1,2,1,"<2,8>"
"exp4",59,24,2,3,8.25,2,2,1,"<2,8>"
"exp4",59,24,3,3,8.25,1,4,1,"<2,8>"
"exp4",59,50,0,2,8,NA,NA,2,"<2,8>"
"exp4",59,50,1,2,8,0,0,2,"<2,8>"
"exp4",59,50,2,2,9,2,8,2,"<2,8>"
"exp4",59,50,3,2,9.88,2,8,2,"<2,8>"
"exp4",59,61,0,2,20,NA,NA,3,"<2,20>"
"exp4",59,61,1,2,20.1,2,2,3,"<2,20>"
"exp4",59,61,2,2,20.19,2,2,3,"<2,20>"
"exp4",59,61,3,3,20.19,1,2,3,"<2,20>"
"exp4",60,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",60,24,1,3,20,1,2,1,"<2,20>"
"exp4",60,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",60,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",60,50,0,2,40,NA,NA,2,"<2,40>"
"exp4",60,50,1,2,40.2,2,8,2,"<2,40>"
"exp4",60,50,2,2,40.39,2,8,2,"<2,40>"
"exp4",60,50,3,3,40.39,1,2,2,"<2,40>"
"exp4",60,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",60,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",60,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",60,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",61,24,0,2,8,NA,NA,1,"<2,8>"
"exp4",61,24,1,2,8,1,4,1,"<2,8>"
"exp4",61,24,2,2,8.5,2,4,1,"<2,8>"
"exp4",61,24,3,2,8.97,2,4,1,"<2,8>"
"exp4",61,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",61,50,1,8.75,40,1,6,2,"<8,40>"
"exp4",61,50,2,9.43,40,1,6,2,"<8,40>"
"exp4",61,50,3,10.06,40,1,6,2,"<8,40>"
"exp4",61,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",61,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",61,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",61,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",62,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",62,24,1,9,20,1,8,1,"<8,20>"
"exp4",62,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",62,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",62,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",62,50,1,9,40,1,8,2,"<8,40>"
"exp4",62,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",62,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",62,61,0,8,40,NA,NA,3,"<8,40>"
"exp4",62,61,1,9,40,1,8,3,"<8,40>"
"exp4",62,61,2,9,40.2,2,8,3,"<8,40>"
"exp4",62,61,3,9.88,40.2,1,8,3,"<8,40>"
"exp4",63,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",63,24,1,3,20,1,2,1,"<2,20>"
"exp4",63,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",63,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",63,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",63,50,1,9,40,1,8,2,"<8,40>"
"exp4",63,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",63,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",63,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",63,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",63,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",63,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",64,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",64,24,1,8,20,0,0,1,"<8,20>"
"exp4",64,24,2,8,20,0,0,1,"<8,20>"
"exp4",64,24,3,8,20,0,0,1,"<8,20>"
"exp4",64,50,0,8,20,NA,NA,2,"<8,20>"
"exp4",64,50,1,9,20,1,8,2,"<8,20>"
"exp4",64,50,2,9.88,20,1,8,2,"<8,20>"
"exp4",64,50,3,10.68,20,1,8,2,"<8,20>"
"exp4",64,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",64,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",64,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",64,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",65,24,0,2,40,NA,NA,1,"<2,40>"
"exp4",65,24,1,2,40.05,2,2,1,"<2,40>"
"exp4",65,24,2,2,40.09,2,2,1,"<2,40>"
"exp4",65,24,3,2,40.18,2,4,1,"<2,40>"
"exp4",65,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",65,50,1,20,40.05,2,2,2,"<20,40>"
"exp4",65,50,2,20,40.09,2,2,2,"<20,40>"
"exp4",65,50,3,20,40.13,2,2,2,"<20,40>"
"exp4",65,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",65,61,1,20,40,0,0,3,"<20,40>"
"exp4",65,61,2,20,40.2,2,8,3,"<20,40>"
"exp4",65,61,3,20,40.24,2,2,3,"<20,40>"
"exp4",66,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",66,24,1,8,20,0,0,1,"<8,20>"
"exp4",66,24,2,8,20,0,0,1,"<8,20>"
"exp4",66,24,3,8,20,0,0,1,"<8,20>"
"exp4",66,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",66,50,1,20,40,0,0,2,"<20,40>"
"exp4",66,50,2,20,40,0,0,2,"<20,40>"
"exp4",66,50,3,20,40,0,0,2,"<20,40>"
"exp4",66,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",66,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",66,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",66,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",67,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",67,24,1,3,20,1,2,1,"<2,20>"
"exp4",67,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",67,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",67,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",67,50,1,9,40,1,8,2,"<8,40>"
"exp4",67,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",67,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",67,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",67,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",67,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",67,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",68,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",68,24,1,9,20,1,8,1,"<8,20>"
"exp4",68,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",68,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",68,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",68,50,1,9,40,1,8,2,"<8,40>"
"exp4",68,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",68,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",68,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",68,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",68,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",68,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",69,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",69,24,1,3,20,1,2,1,"<2,20>"
"exp4",69,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",69,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",69,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",69,50,1,20,40,0,0,2,"<20,40>"
"exp4",69,50,2,20,40,0,0,2,"<20,40>"
"exp4",69,50,3,20,40,0,0,2,"<20,40>"
"exp4",69,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",69,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",69,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",69,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",70,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",70,24,1,3,20,1,2,1,"<2,20>"
"exp4",70,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",70,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",70,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",70,50,1,9,40,1,8,2,"<8,40>"
"exp4",70,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",70,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",70,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",70,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",70,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",70,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",71,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",71,24,1,3,20,1,2,1,"<2,20>"
"exp4",71,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",71,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",71,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",71,50,1,9,40,1,8,2,"<8,40>"
"exp4",71,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",71,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",71,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",71,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",71,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",71,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",72,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",72,24,1,8,20,0,0,1,"<8,20>"
"exp4",72,24,2,8,20,0,0,1,"<8,20>"
"exp4",72,24,3,8,20,0,0,1,"<8,20>"
"exp4",72,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",72,50,1,20,40,0,0,2,"<20,40>"
"exp4",72,50,2,20,40,0,0,2,"<20,40>"
"exp4",72,50,3,20,40,0,0,2,"<20,40>"
"exp4",72,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",72,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",72,61,2,20.4,40.2,2,8,3,"<20,40>"
"exp4",72,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",73,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",73,24,1,8,20,0,0,1,"<8,20>"
"exp4",73,24,2,8,20,0,0,1,"<8,20>"
"exp4",73,24,3,8,20,0,0,1,"<8,20>"
"exp4",73,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",73,50,1,20,40,0,0,2,"<20,40>"
"exp4",73,50,2,20.4,40,1,8,2,"<20,40>"
"exp4",73,50,3,20.79,40,1,8,2,"<20,40>"
"exp4",73,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",73,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",73,61,2,20.69,40,1,6,3,"<20,40>"
"exp4",73,61,3,20.97,40,1,6,3,"<20,40>"
"exp4",74,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",74,24,1,2,20.4,2,8,1,"<2,20>"
"exp4",74,24,2,2,20.79,2,8,1,"<2,20>"
"exp4",74,24,3,2,20.79,1,4,1,"<2,20>"
"exp4",74,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",74,50,1,8.5,40,1,4,2,"<8,40>"
"exp4",74,50,2,9.44,40,1,8,2,"<8,40>"
"exp4",74,50,3,10.07,40,1,6,2,"<8,40>"
"exp4",74,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",74,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",74,61,2,20.69,40,1,6,3,"<20,40>"
"exp4",74,61,3,20.97,40,1,6,3,"<20,40>"
"exp4",75,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",75,24,1,8.5,20,1,4,1,"<8,20>"
"exp4",75,24,2,8.5,20,0,0,1,"<8,20>"
"exp4",75,24,3,8.5,20,0,0,1,"<8,20>"
"exp4",75,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",75,50,1,8.75,40,1,6,2,"<8,40>"
"exp4",75,50,2,9.43,40,1,6,2,"<8,40>"
"exp4",75,50,3,10.06,40,1,6,2,"<8,40>"
"exp4",75,61,0,8,40,NA,NA,3,"<8,40>"
"exp4",75,61,1,8.75,40,1,6,3,"<8,40>"
"exp4",75,61,2,9.43,40,1,6,3,"<8,40>"
"exp4",75,61,3,10.27,40,1,8,3,"<8,40>"
"exp4",76,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",76,24,1,2,20,1,8,1,"<2,20>"
"exp4",76,24,2,3,20,1,2,1,"<2,20>"
"exp4",76,24,3,3,20,1,4,1,"<2,20>"
"exp4",76,50,0,20,40,NA,NA,2,"<20,40>"
