"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",9,50,3,9,40.39,1,8,2,"<8,40>"
"exp4",9,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",9,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",9,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp4",9,61,3,20.4,40.39,2,8,3,"<20,40>"
"exp4",10,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",10,24,1,8,20,0,0,1,"<8,20>"
"exp4",10,24,2,8,20,0,0,1,"<8,20>"
"exp4",10,24,3,8,20,0,0,1,"<8,20>"
"exp4",10,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",10,50,1,9,40,1,8,2,"<8,40>"
"exp4",10,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",10,50,3,10.48,40,1,6,2,"<8,40>"
"exp4",10,61,0,8,20,NA,NA,3,"<8,20>"
"exp4",10,61,1,8.5,20,1,4,3,"<8,20>"
"exp4",10,61,2,9.2,20,1,6,3,"<8,20>"
"exp4",10,61,3,9.85,20,1,6,3,"<8,20>"
"exp4",11,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",11,24,1,3,20,1,2,1,"<2,20>"
"exp4",11,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",11,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",11,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",11,50,1,9,40,1,8,2,"<8,40>"
"exp4",11,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",11,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",11,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",11,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",11,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",11,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",12,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",12,24,1,9,20,1,8,1,"<8,20>"
"exp4",12,24,2,9,20,0,0,1,"<8,20>"
"exp4",12,24,3,9,20,0,0,1,"<8,20>"
"exp4",12,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",12,50,1,9,40,1,8,2,"<8,40>"
"exp4",12,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",12,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",12,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",12,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",12,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",12,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",13,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",13,24,1,9,20,1,8,1,"<8,20>"
"exp4",13,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",13,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",13,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",13,50,1,9,40,1,8,2,"<8,40>"
"exp4",13,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",13,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",13,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",13,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",13,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",13,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",14,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",14,24,1,8,20.4,2,8,1,"<8,20>"
"exp4",14,24,2,8,20.79,2,8,1,"<8,20>"
"exp4",14,24,3,8,21.17,2,8,1,"<8,20>"
"exp4",14,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",14,50,1,20,40.2,2,8,2,"<20,40>"
"exp4",14,50,2,20,40.39,2,8,2,"<20,40>"
"exp4",14,50,3,20,40.58,2,8,2,"<20,40>"
"exp4",14,61,0,8,20,NA,NA,3,"<8,20>"
"exp4",14,61,1,8.25,20,1,2,3,"<8,20>"
"exp4",14,61,2,8.73,20,1,4,3,"<8,20>"
"exp4",14,61,3,9.18,20,1,4,3,"<8,20>"
"exp4",15,24,0,2,8,NA,NA,1,"<2,8>"
"exp4",15,24,1,3,8,1,2,1,"<2,8>"
"exp4",15,24,2,3,8.5,2,4,1,"<2,8>"
"exp4",15,24,3,3.66,8.5,1,2,1,"<2,8>"
"exp4",15,50,0,8,20,NA,NA,2,"<8,20>"
"exp4",15,50,1,8.75,20,1,6,2,"<8,20>"
"exp4",15,50,2,9.43,20,1,6,2,"<8,20>"
"exp4",15,50,3,9.43,20.3,2,6,2,"<8,20>"
"exp4",15,61,0,2,8,NA,NA,3,"<2,8>"
"exp4",15,61,1,2,8,1,6,3,"<2,8>"
"exp4",15,61,2,3,8,1,2,3,"<2,8>"
"exp4",15,61,3,3,8.5,2,4,3,"<2,8>"
"exp4",16,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",16,24,1,3,20,1,2,1,"<2,20>"
"exp4",16,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",16,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",16,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",16,50,1,9,40,1,8,2,"<8,40>"
"exp4",16,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",16,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",16,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",16,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",16,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",16,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",17,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",17,24,1,8.5,20,1,4,1,"<8,20>"
"exp4",17,24,2,8.97,20,1,4,1,"<8,20>"
"exp4",17,24,3,9.41,20,1,4,1,"<8,20>"
"exp4",17,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",17,50,1,9,40,1,8,2,"<8,40>"
"exp4",17,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",17,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",17,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",17,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",17,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",17,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",18,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",18,24,1,8,20,0,0,1,"<8,20>"
"exp4",18,24,2,8,20,0,0,1,"<8,20>"
"exp4",18,24,3,8,20,0,0,1,"<8,20>"
"exp4",18,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",18,50,1,20,40,0,0,2,"<20,40>"
"exp4",18,50,2,20,40,0,0,2,"<20,40>"
"exp4",18,50,3,20,40,0,0,2,"<20,40>"
"exp4",18,61,0,2,40,NA,NA,3,"<2,40>"
"exp4",18,61,1,3,40,1,2,3,"<2,40>"
